symbol,short_sell_date,short_sell_price,buy_to_cover_date,buy_to_cover_price
TSLA_HISTORY,2021-02-03,284.9,2021-02-05,284.08
V_HISTORY,2021-02-04,209.25,2021-02-08,206.89
NVDA_HISTORY,2021-02-04,13.66,2021-02-10,14.76
INTC_HISTORY,2021-02-04,58.79,2021-02-10,58.86
MS_HISTORY,2021-02-04,72.29,2021-02-08,74.23
ADBE_HISTORY,2021-02-04,489.38,2021-02-08,493.76
UBER_HISTORY,2021-02-05,58.58,2021-02-09,59.61
ADBE_HISTORY,2021-02-05,492.12,2021-02-09,496.05
MS_HISTORY,2021-02-05,73.22,2021-02-09,74.24
DIS_HISTORY,2021-02-08,190.0,2021-02-12,187.67
GM_HISTORY,2021-02-08,56.88,2021-02-12,53.6
UBER_HISTORY,2021-02-08,59.29,2021-02-10,63.18
CSCO_HISTORY,2021-02-08,48.94,2021-02-12,47.29
GS_HISTORY,2021-02-08,300.15,2021-02-12,306.32
WMT_HISTORY,2021-02-08,48.34,2021-02-12,48.16
GE_HISTORY,2021-02-08,57.7982,2021-02-12,58.3956
UBER_HISTORY,2021-02-09,59.61,2021-02-11,60.71
FCX_HISTORY,2021-02-09,32.02,2021-02-11,30.99
FCX_HISTORY,2021-02-10,31.24,2021-02-12,31.23
JNJ_HISTORY,2021-02-22,161.87,2021-02-26,158.46
AMZN_HISTORY,2021-02-23,159.73,2021-02-25,152.86
GOOG_HISTORY,2021-02-24,104.76,2021-03-02,103.79
AMD_HISTORY,2021-03-01,86.39,2021-03-03,80.86
GE_HISTORY,2021-03-01,65.2657,2021-03-05,67.7051
META_HISTORY,2021-03-03,255.41,2021-03-09,265.74
GOOGL_HISTORY,2021-03-03,100.57,2021-03-09,102.02
GOOG_HISTORY,2021-03-03,101.34,2021-03-09,102.64
AAPL_HISTORY,2021-03-04,120.13,2021-03-08,116.36
MSFT_HISTORY,2021-03-04,226.73,2021-03-10,232.42
DIS_HISTORY,2021-03-04,188.03,2021-03-10,195.06
HD_HISTORY,2021-03-04,250.93,2021-03-08,259.03
AAPL_HISTORY,2021-03-05,121.42,2021-03-09,121.09
INTC_HISTORY,2021-03-05,60.74,2021-03-11,63.31
HD_HISTORY,2021-03-05,253.52,2021-03-09,264.96
AMZN_HISTORY,2021-03-08,147.6,2021-03-12,154.47
META_HISTORY,2021-03-11,273.88,2021-03-17,284.01
INTC_HISTORY,2021-03-11,63.31,2021-03-15,63.79
TSLA_HISTORY,2021-03-12,231.24,2021-03-16,225.63
INTC_HISTORY,2021-03-12,62.9,2021-03-16,64.78
TSLA_HISTORY,2021-03-15,235.98,2021-03-17,233.94
GE_HISTORY,2021-03-17,67.7549,2021-03-23,63.0255
UAL_HISTORY,2021-03-17,62.45,2021-03-23,54.36
NVDA_HISTORY,2021-03-31,13.35,2021-04-01,13.81
MU_HISTORY,2021-03-31,88.21,2021-04-07,93.96
AMAT_HISTORY,2021-03-31,133.6,2021-04-05,143.05
PYPL_HISTORY,2021-03-31,242.84,2021-04-01,247.54
HD_HISTORY,2021-03-31,305.25,2021-04-06,313.78
ADBE_HISTORY,2021-03-31,475.37,2021-04-05,491.62
QCOM_HISTORY,2021-03-31,132.59,2021-04-05,140.33
NVDA_HISTORY,2021-04-01,13.81,2021-04-05,13.99
AMAT_HISTORY,2021-04-01,141.52,2021-04-06,139.54
QCOM_HISTORY,2021-04-01,137.79,2021-04-06,138.06
NFLX_HISTORY,2021-04-01,539.42,2021-04-06,544.53
CRM_HISTORY,2021-04-01,218.72,2021-04-08,224.45
ADBE_HISTORY,2021-04-01,483.34,2021-04-06,491.34
LRCX_HISTORY,2021-04-01,63.93,2021-04-06,65.25
TSLA_HISTORY,2021-04-05,230.35,2021-04-09,225.67
META_HISTORY,2021-04-05,308.91,2021-04-08,313.02
NVDA_HISTORY,2021-04-05,13.99,2021-04-06,13.86
AMAT_HISTORY,2021-04-05,143.05,2021-04-07,139.14
GOOGL_HISTORY,2021-04-05,110.95,2021-04-07,111.95
GOOG_HISTORY,2021-04-05,111.28,2021-04-07,112.48
NFLX_HISTORY,2021-04-05,540.67,2021-04-07,546.99
LRCX_HISTORY,2021-04-05,66.08,2021-04-07,65.88
CCL_HISTORY,2021-04-05,28.11,2021-04-07,29.0
GOOGL_HISTORY,2021-04-06,110.46,2021-04-08,112.52
GOOG_HISTORY,2021-04-06,111.24,2021-04-08,113.27
PYPL_HISTORY,2021-04-06,253.19,2021-04-07,255.6
NFLX_HISTORY,2021-04-06,544.53,2021-04-07,546.99
LRCX_HISTORY,2021-04-06,65.25,2021-04-07,65.88
CCL_HISTORY,2021-04-06,28.6,2021-04-08,28.56
MSFT_HISTORY,2021-04-07,249.9,2021-04-09,255.85
META_HISTORY,2021-04-07,313.09,2021-04-09,312.46
AMZN_HISTORY,2021-04-07,163.97,2021-04-12,168.97
NVDA_HISTORY,2021-04-07,14.14,2021-04-08,14.32
GOOGL_HISTORY,2021-04-07,111.95,2021-04-09,113.53
GOOG_HISTORY,2021-04-07,112.48,2021-04-09,114.29
PYPL_HISTORY,2021-04-07,255.6,2021-04-08,264.5
NFLX_HISTORY,2021-04-07,546.99,2021-04-08,554.58
LRCX_HISTORY,2021-04-07,65.88,2021-04-08,66.8
AAPL_HISTORY,2021-04-08,130.36,2021-04-12,131.24
META_HISTORY,2021-04-08,313.02,2021-04-12,311.54
MSFT_HISTORY,2021-04-08,253.25,2021-04-12,255.91
NVDA_HISTORY,2021-04-08,14.32,2021-04-09,14.4
PYPL_HISTORY,2021-04-08,264.5,2021-04-12,269.03
ORCL_HISTORY,2021-04-08,75.28,2021-04-12,76.12
CRM_HISTORY,2021-04-08,224.45,2021-04-13,232.0
LRCX_HISTORY,2021-04-08,66.8,2021-04-09,66.2
AAPL_HISTORY,2021-04-09,133.0,2021-04-13,134.43
AMZN_HISTORY,2021-04-09,168.61,2021-04-13,170.0
GOOGL_HISTORY,2021-04-09,113.53,2021-04-12,112.23
GOOG_HISTORY,2021-04-09,114.29,2021-04-12,112.74
INTC_HISTORY,2021-04-09,68.26,2021-04-12,65.41
ORCL_HISTORY,2021-04-09,75.58,2021-04-13,76.67
AMZN_HISTORY,2021-04-12,168.97,2021-04-13,170.0
AMZN_HISTORY,2021-04-13,170.0,2021-04-14,166.65
NVDA_HISTORY,2021-04-13,15.68,2021-04-15,16.14
MSFT_HISTORY,2021-04-13,258.49,2021-04-15,259.5
PYPL_HISTORY,2021-04-13,275.43,2021-04-14,267.21
MRNA_HISTORY,2021-04-13,149.71,2021-04-16,170.81
CRWD_HISTORY,2021-04-13,216.35,2021-04-19,213.37
PYPL_HISTORY,2021-04-14,267.21,2021-04-15,274.0
NVDA_HISTORY,2021-04-15,16.14,2021-04-19,15.36
MRNA_HISTORY,2021-04-15,159.87,2021-04-19,161.91
PYPL_HISTORY,2021-04-15,274.0,2021-04-19,267.91
UBER_HISTORY,2021-04-15,60.74,2021-04-20,55.48
CRM_HISTORY,2021-04-15,233.0,2021-04-21,230.56
ORCL_HISTORY,2021-04-15,78.29,2021-04-19,78.75
NVDA_HISTORY,2021-04-16,15.91,2021-04-20,15.17
ORCL_HISTORY,2021-04-16,78.95,2021-04-20,79.24
AMD_HISTORY,2021-04-23,82.76,2021-04-27,85.21
AMD_HISTORY,2021-04-26,85.41,2021-04-27,85.21
QCOM_HISTORY,2021-04-26,138.96,2021-04-27,138.01
AMZN_HISTORY,2021-04-27,170.87,2021-05-03,169.32
AMD_HISTORY,2021-04-27,85.21,2021-04-28,84.02
BA_HISTORY,2021-04-27,242.47,2021-04-29,235.94
BAC_HISTORY,2021-04-27,39.88,2021-05-03,40.56
C_HISTORY,2021-04-27,72.99,2021-04-29,73.84
AMAT_HISTORY,2021-04-27,136.78,2021-04-30,132.71
QCOM_HISTORY,2021-04-27,138.01,2021-04-29,142.68
PLTR_HISTORY,2021-04-27,23.88,2021-05-03,22.3
PYPL_HISTORY,2021-04-27,268.82,2021-04-30,262.29
NKE_HISTORY,2021-04-27,132.11,2021-05-03,133.03
PYPL_HISTORY,2021-04-29,267.85,2021-05-03,259.09
FCX_HISTORY,2021-04-29,38.4,2021-05-05,41.54
GOOG_HISTORY,2021-05-05,117.84,2021-05-11,115.44
INTC_HISTORY,2021-05-05,56.85,2021-05-11,55.04
MSFT_HISTORY,2021-05-07,252.46,2021-05-13,243.03
NFLX_HISTORY,2021-05-12,484.98,2021-05-18,486.28
DASH_HISTORY,2021-05-17,133.79,2021-05-21,137.57
JPM_HISTORY,2021-05-18,162.35,2021-05-24,163.54
AMAT_HISTORY,2021-05-18,121.81,2021-05-21,128.66
GOOG_HISTORY,2021-05-18,115.17,2021-05-21,117.26
META_HISTORY,2021-05-19,313.59,2021-05-21,316.23
META_HISTORY,2021-05-20,318.61,2021-05-24,324.63
MU_HISTORY,2021-05-20,81.13,2021-05-24,82.9
MU_HISTORY,2021-05-21,80.72,2021-05-25,81.23
TSLA_HISTORY,2021-05-24,202.15,2021-05-26,206.38
BA_HISTORY,2021-05-24,237.44,2021-05-26,241.37
DASH_HISTORY,2021-05-24,140.46,2021-05-28,150.28
TSLA_HISTORY,2021-05-25,201.56,2021-05-27,210.28
NVDA_HISTORY,2021-05-25,15.65,2021-05-28,16.24
META_HISTORY,2021-05-25,327.79,2021-05-27,332.75
GOOG_HISTORY,2021-05-25,120.45,2021-05-27,120.13
TSLA_HISTORY,2021-05-26,206.38,2021-05-28,208.41
GOOG_HISTORY,2021-05-26,121.68,2021-05-28,120.58
NVDA_HISTORY,2021-05-27,15.49,2021-06-01,16.26
MSFT_HISTORY,2021-06-09,253.59,2021-06-11,257.89
MRNA_HISTORY,2021-06-09,217.44,2021-06-15,201.59
MSFT_HISTORY,2021-06-10,257.24,2021-06-14,259.89
CRWD_HISTORY,2021-06-11,231.27,2021-06-15,228.34
CRM_HISTORY,2021-06-14,246.26,2021-06-18,242.78
CRWD_HISTORY,2021-06-14,233.53,2021-06-16,234.17
PYPL_HISTORY,2021-06-15,271.89,2021-06-18,283.38
ADBE_HISTORY,2021-06-15,548.46,2021-06-17,551.36
CRWD_HISTORY,2021-06-15,228.34,2021-06-17,241.31
ADBE_HISTORY,2021-06-16,543.33,2021-06-18,565.59
PYPL_HISTORY,2021-06-17,278.11,2021-06-21,283.1
AAPL_HISTORY,2021-06-22,133.98,2021-06-28,134.78
NVDA_HISTORY,2021-06-23,19.06,2021-06-28,19.99
CRWD_HISTORY,2021-06-23,252.9,2021-06-29,257.12
BAC_HISTORY,2021-06-24,40.83,2021-06-29,40.89
C_HISTORY,2021-06-24,71.32,2021-06-29,69.68
XOM_HISTORY,2021-06-24,64.52,2021-06-30,63.08
TSLA_HISTORY,2021-06-25,223.96,2021-07-01,225.97
NVDA_HISTORY,2021-06-25,19.03,2021-06-29,20.03
META_HISTORY,2021-06-25,341.37,2021-06-29,351.89
FCX_HISTORY,2021-06-25,37.24,2021-07-01,37.09
NVDA_HISTORY,2021-06-28,19.99,2021-06-29,20.03
META_HISTORY,2021-06-28,355.64,2021-06-30,347.71
AMD_HISTORY,2021-06-28,87.08,2021-06-30,93.93
C_HISTORY,2021-06-28,71.51,2021-06-30,70.75
BAC_HISTORY,2021-06-28,41.56,2021-06-30,41.23
PLTR_HISTORY,2021-06-28,27.38,2021-07-02,24.44
NFLX_HISTORY,2021-06-28,533.03,2021-07-02,533.98
MU_HISTORY,2021-06-28,83.38,2021-07-01,80.11
