symbol,buy_date,buy_price,sell_date,sell_price,short_sell_date,short_sell_price,buy_to_cover_date,buy_to_cover_price
TSLA_HISTORY,2020-10-06,137.99,2020-10-12,147.43,,,,
AAPL_HISTORY,2020-10-07,115.08,2020-10-13,121.1,,,,
AMD_HISTORY,,,,,2020-10-08,86.51,2020-10-14,84.21
NFLX_HISTORY,,,,,2020-10-08,531.79,2020-10-12,539.81
CRM_HISTORY,,,,,2020-10-08,260.22,2020-10-12,267.07
QCOM_HISTORY,,,,,2020-10-08,122.34,2020-10-14,129.88
NFLX_HISTORY,,,,,2020-10-09,539.44,2020-10-13,554.09
UAL_HISTORY,2020-10-09,37.12,2020-10-15,34.25,,,,
CRM_HISTORY,,,,,2020-10-09,265.98,2020-10-13,266.83
WFC_HISTORY,,,,,2020-10-09,25.3,2020-10-15,22.95
BMY_HISTORY,,,,,2020-10-09,61.82,2020-10-15,60.42
AMZN_HISTORY,,,,,2020-10-12,172.15,2020-10-14,168.19
DIS_HISTORY,2020-10-12,124.97,2020-10-15,127.36,,,,
MA_HISTORY,2020-10-12,352.04,2020-10-16,339.4,,,,
JNJ_HISTORY,2020-10-12,151.84,2020-10-16,148.1,,,,
PG_HISTORY,2020-10-12,144.49,2020-10-14,144.04,,,,
F_HISTORY,,,,,2020-10-12,7.67,2020-10-14,7.57
HD_HISTORY,2020-10-12,286.91,2020-10-16,287.66,,,,
AMZN_HISTORY,,,,,2020-10-13,172.18,2020-10-15,166.93
MSFT_HISTORY,,,,,2020-10-13,222.86,2020-10-15,219.66
GOOGL_HISTORY,,,,,2020-10-13,78.35,2020-10-15,77.77
GOOG_HISTORY,,,,,2020-10-13,78.58,2020-10-15,77.96
MU_HISTORY,,,,,2020-10-13,51.85,2020-10-15,51.94
MS_HISTORY,2020-10-13,50.44,2020-10-15,51.33,,,,
WMT_HISTORY,2020-10-13,48.74,2020-10-15,48.18,,,,
CMCSA_HISTORY,2020-10-13,45.89,2020-10-19,44.33,,,,
F_HISTORY,,,,,2020-10-13,7.76,2020-10-15,7.62
PG_HISTORY,2020-10-13,144.21,2020-10-15,143.83,,,,
MSFT_HISTORY,,,,,2020-10-14,220.86,2020-10-16,219.66
META_HISTORY,,,,,2020-10-14,271.82,2020-10-20,267.56
DIS_HISTORY,2020-10-14,126.59,2020-10-16,126.81,,,,
GOOGL_HISTORY,,,,,2020-10-14,78.17,2020-10-16,78.39
GOOG_HISTORY,,,,,2020-10-14,78.4,2020-10-16,78.65
MS_HISTORY,,,,,2020-10-14,50.65,2020-10-16,51.85
MU_HISTORY,,,,,2020-10-14,51.63,2020-10-16,51.61
WMT_HISTORY,2020-10-14,47.98,2020-10-16,48.24,,,,
AAPL_HISTORY,,,,,2020-10-15,120.71,2020-10-20,117.51
AMZN_HISTORY,,,,,2020-10-15,166.93,2020-10-16,163.64
AMZN_HISTORY,2020-10-16,163.64,2020-10-19,160.36,,,,
AAPL_HISTORY,2020-10-19,115.98,2020-10-21,116.87,,,,
AMZN_HISTORY,2020-10-19,160.36,2020-10-20,160.85,,,,
NVDA_HISTORY,2020-10-19,13.5,2020-10-22,13.36,,,,
MA_HISTORY,2020-10-19,331.67,2020-10-23,329.61,,,,
AMZN_HISTORY,2020-10-20,160.85,2020-10-21,159.25,,,,
AMD_HISTORY,2020-10-20,81.56,2020-10-26,82.23,,,,
NFLX_HISTORY,2020-10-20,525.42,2020-10-26,488.24,,,,
CVX_HISTORY,,,,,2020-10-20,71.68,2020-10-26,70.94
AMZN_HISTORY,2020-10-21,159.25,2020-10-22,158.82,,,,
NVDA_HISTORY,2020-10-21,13.52,2020-10-23,13.59,,,,
T_HISTORY,2020-10-21,20.17,2020-10-27,20.32,,,,
AAPL_HISTORY,2020-10-22,115.75,2020-10-26,115.05,,,,
WMT_HISTORY,,,,,2020-10-22,47.85,2020-10-28,46.68
NVDA_HISTORY,2020-10-28,12.63,2020-11-02,12.58,,,,
V_HISTORY,2020-10-28,180.87,2020-10-30,181.71,,,,
MA_HISTORY,2020-10-28,291.38,2020-10-30,288.64,,,,
CSCO_HISTORY,2020-10-28,35.71,2020-10-30,35.9,,,,
CRM_HISTORY,2020-10-28,238.43,2020-11-03,237.13,,,,
UPS_HISTORY,2020-10-28,155.78,2020-10-30,157.11,,,,
KO_HISTORY,2020-10-28,47.96,2020-10-30,48.06,,,,
MU_HISTORY,2020-10-28,50.0,2020-10-30,50.34,,,,
ORCL_HISTORY,2020-10-28,55.59,2020-10-30,56.11,,,,
IBM_HISTORY,2020-10-28,106.65,2020-10-30,111.66,,,,
ADBE_HISTORY,2020-10-28,456.97,2020-10-30,447.1,,,,
MSFT_HISTORY,2020-10-29,204.72,2020-11-04,216.39,,,,
INTC_HISTORY,2020-10-29,44.11,2020-11-04,45.7,,,,
BA_HISTORY,2020-10-29,148.29,2020-11-02,148.6,,,,
V_HISTORY,2020-10-29,184.87,2020-11-02,184.74,,,,
MA_HISTORY,2020-10-29,293.18,2020-11-02,289.97,,,,
BAC_HISTORY,2020-10-29,23.54,2020-11-04,23.68,,,,
T_HISTORY,2020-10-29,20.2,2020-11-04,20.41,,,,
JPM_HISTORY,2020-10-29,97.17,2020-11-04,100.25,,,,
CSCO_HISTORY,2020-10-29,35.69,2020-11-02,35.9,,,,
XOM_HISTORY,2020-10-29,32.97,2020-11-04,33.23,,,,
PFE_HISTORY,2020-10-29,35.28,2020-11-04,37.33,,,,
PYPL_HISTORY,2020-10-29,195.04,2020-11-02,187.76,,,,
WFC_HISTORY,2020-10-29,21.14,2020-11-04,21.88,,,,
VZ_HISTORY,,,,,2020-10-29,56.76,2020-11-04,57.22
GILD_HISTORY,2020-10-29,58.53,2020-11-04,59.87,,,,
UPS_HISTORY,2020-10-29,161.36,2020-11-02,159.55,,,,
DIS_HISTORY,2020-10-29,121.54,2020-11-04,125.07,,,,
CVX_HISTORY,2020-10-29,68.8,2020-11-04,71.77,,,,
ORCL_HISTORY,2020-10-29,56.02,2020-11-02,56.45,,,,
SBUX_HISTORY,,,,,2020-10-29,88.3,2020-11-02,85.97
KO_HISTORY,2020-10-29,48.02,2020-11-02,48.62,,,,
RTX_HISTORY,2020-10-29,53.14,2020-11-04,56.82,,,,
MU_HISTORY,2020-10-29,50.48,2020-11-02,49.71,,,,
JNJ_HISTORY,2020-10-29,137.19,2020-11-04,139.4,,,,
IBM_HISTORY,2020-10-29,108.91,2020-11-02,112.91,,,,
ADBE_HISTORY,2020-10-29,461.11,2020-11-02,444.94,,,,
UNH_HISTORY,2020-10-29,303.68,2020-11-04,354.56,,,,
CMCSA_HISTORY,2020-10-29,43.06,2020-11-04,43.7,,,,
AMD_HISTORY,2020-10-30,75.29,2020-11-03,76.58,,,,
NVDA_HISTORY,2020-10-30,12.53,2020-11-03,13.02,,,,
BA_HISTORY,2020-10-30,144.39,2020-11-03,153.65,,,,
MA_HISTORY,2020-10-30,288.64,2020-11-03,295.39,,,,
PYPL_HISTORY,2020-10-30,186.13,2020-11-03,179.81,,,,
UPS_HISTORY,2020-10-30,157.11,2020-11-03,163.48,,,,
DXCM_HISTORY,2020-10-30,79.89,2020-11-03,82.94,,,,
SBUX_HISTORY,,,,,2020-10-30,86.96,2020-11-03,88.39
ADBE_HISTORY,2020-10-30,447.1,2020-11-02,444.94,,,,
AAPL_HISTORY,2020-11-02,108.77,2020-11-05,119.03,,,,
AMD_HISTORY,2020-11-02,74.7,2020-11-04,81.35,,,,
NVDA_HISTORY,2020-11-02,12.58,2020-11-04,13.79,,,,
PYPL_HISTORY,2020-11-02,187.76,2020-11-04,194.29,,,,
DXCM_HISTORY,2020-11-02,78.0,2020-11-04,86.13,,,,
ADBE_HISTORY,2020-11-02,444.94,2020-11-03,454.02,,,,
AAPL_HISTORY,2020-11-04,114.95,2020-11-06,118.69,,,,
NVDA_HISTORY,,,,,2020-11-04,13.79,2020-11-05,14.16
AMZN_HISTORY,2020-11-05,166.1,2020-11-11,156.87,,,,
NVDA_HISTORY,,,,,2020-11-05,14.16,2020-11-06,14.56
GOOG_HISTORY,2020-11-05,88.17,2020-11-11,87.64,,,,
GOOGL_HISTORY,2020-11-05,88.13,2020-11-11,87.36,,,,
CRM_HISTORY,,,,,2020-11-05,260.22,2020-11-09,259.28
MSFT_HISTORY,,,,,2020-11-06,223.72,2020-11-10,211.01
AMD_HISTORY,,,,,2020-11-06,85.88,2020-11-10,77.99
NVDA_HISTORY,,,,,2020-11-06,14.56,2020-11-09,13.63
UBER_HISTORY,,,,,2020-11-06,44.87,2020-11-12,46.4
CRM_HISTORY,,,,,2020-11-06,260.15,2020-11-10,247.66
CVS_HISTORY,,,,,2020-11-06,64.95,2020-11-12,69.39
WMT_HISTORY,2020-11-06,48.59,2020-11-12,49.41,,,,
PG_HISTORY,2020-11-06,143.23,2020-11-12,142.15,,,,
MSFT_HISTORY,,,,,2020-11-09,218.39,2020-11-11,216.55
AMD_HISTORY,,,,,2020-11-09,83.12,2020-11-11,81.28
NVDA_HISTORY,,,,,2020-11-09,13.63,2020-11-10,12.77
QCOM_HISTORY,,,,,2020-11-09,142.61,2020-11-13,144.26
UNH_HISTORY,,,,,2020-11-09,350.0,2020-11-13,355.67
CRM_HISTORY,,,,,2020-11-09,259.28,2020-11-11,254.18
MSFT_HISTORY,2020-11-10,211.01,2020-11-11,216.55,,,,
NVDA_HISTORY,2020-11-10,12.77,2020-11-11,13.42,,,,
MSFT_HISTORY,2020-11-11,216.55,2020-11-12,215.44,,,,
MSFT_HISTORY,2020-11-12,215.44,2020-11-13,216.51,,,,
HD_HISTORY,2020-11-12,276.24,2020-11-18,269.83,,,,
AAPL_HISTORY,,,,,2020-11-16,120.3,2020-11-20,117.34
GOOGL_HISTORY,2020-11-23,86.38,2020-11-30,87.72,,,,
INTC_HISTORY,,,,,2020-11-25,47.05,2020-11-30,48.35
CCL_HISTORY,,,,,2020-11-27,21.58,2020-12-03,22.88
INTC_HISTORY,,,,,2020-11-27,47.45,2020-12-01,49.56
NCLH_HISTORY,,,,,2020-11-27,23.68,2020-12-03,25.42
PYPL_HISTORY,,,,,2020-11-30,214.12,2020-12-04,217.77
INTC_HISTORY,,,,,2020-11-30,48.35,2020-12-01,49.56
AAPL_HISTORY,,,,,2020-12-01,122.72,2020-12-03,122.94
PFE_HISTORY,,,,,2020-12-01,39.41,2020-12-03,40.09
INTC_HISTORY,,,,,2020-12-01,49.56,2020-12-02,49.9
NFLX_HISTORY,,,,,2020-12-01,504.58,2020-12-07,515.78
AAPL_HISTORY,,,,,2020-12-02,123.08,2020-12-04,122.25
AMD_HISTORY,,,,,2020-12-02,93.74,2020-12-08,92.92
PFE_HISTORY,,,,,2020-12-02,40.8,2020-12-04,40.34
INTC_HISTORY,,,,,2020-12-02,49.9,2020-12-03,50.99
TMO_HISTORY,,,,,2020-12-02,478.89,2020-12-04,474.62
AAPL_HISTORY,,,,,2020-12-03,122.94,2020-12-07,123.75
INTC_HISTORY,,,,,2020-12-03,50.99,2020-12-04,51.98
MU_HISTORY,,,,,2020-12-03,69.9,2020-12-07,72.61
JNJ_HISTORY,,,,,2020-12-03,149.0,2020-12-07,148.97
UNH_HISTORY,,,,,2020-12-03,348.68,2020-12-09,344.41
TMO_HISTORY,,,,,2020-12-03,477.2,2020-12-07,472.89
INTC_HISTORY,,,,,2020-12-04,51.98,2020-12-07,50.2
MU_HISTORY,,,,,2020-12-04,73.34,2020-12-08,73.19
JNJ_HISTORY,,,,,2020-12-04,150.27,2020-12-08,151.55
DIS_HISTORY,,,,,2020-12-04,154.14,2020-12-10,154.69
CSCO_HISTORY,,,,,2020-12-04,44.38,2020-12-08,44.37
BA_HISTORY,,,,,2020-12-07,238.17,2020-12-11,230.33
MU_HISTORY,,,,,2020-12-07,72.61,2020-12-09,71.41
GE_HISTORY,,,,,2020-12-07,54.0645,2020-12-09,56.703
CRWD_HISTORY,,,,,2020-12-07,170.72,2020-12-09,166.17
CSCO_HISTORY,,,,,2020-12-07,44.35,2020-12-09,44.69
OXY_HISTORY,,,,,2020-12-07,18.19,2020-12-09,19.39
TSLA_HISTORY,,,,,2020-12-08,216.63,2020-12-14,213.28
MRNA_HISTORY,,,,,2020-12-08,169.86,2020-12-14,155.07
T_HISTORY,,,,,2020-12-08,23.26,2020-12-14,23.06
GE_HISTORY,,,,,2020-12-08,54.5623,2020-12-10,56.3545
CRWD_HISTORY,,,,,2020-12-08,177.48,2020-12-10,179.99
NCLH_HISTORY,,,,,2020-12-08,28.15,2020-12-14,25.41
ADBE_HISTORY,,,,,2020-12-08,495.28,2020-12-14,486.42
OXY_HISTORY,,,,,2020-12-08,19.13,2020-12-10,21.31
BA_HISTORY,2020-12-11,230.33,2020-12-16,225.87,,,,
TSLA_HISTORY,2020-12-15,211.08,2020-12-21,216.62,,,,
AAPL_HISTORY,,,,,2020-12-16,127.81,2020-12-18,126.66
AMZN_HISTORY,,,,,2020-12-16,162.05,2020-12-22,160.33
AMD_HISTORY,,,,,2020-12-16,96.85,2020-12-22,93.16
PYPL_HISTORY,,,,,2020-12-16,230.2,2020-12-18,236.45
NFLX_HISTORY,,,,,2020-12-16,524.83,2020-12-18,534.45
ORCL_HISTORY,,,,,2020-12-16,62.78,2020-12-22,65.15
HD_HISTORY,2020-12-16,269.59,2020-12-22,270.04,,,,
AAPL_HISTORY,,,,,2020-12-17,128.7,2020-12-21,128.23
PYPL_HISTORY,,,,,2020-12-17,235.51,2020-12-21,237.72
NFLX_HISTORY,,,,,2020-12-17,532.9,2020-12-21,528.91
AVGO_HISTORY,,,,,2020-12-17,42.61,2020-12-23,42.55
AAPL_HISTORY,,,,,2020-12-18,126.66,2020-12-21,128.23
PYPL_HISTORY,,,,,2020-12-18,236.45,2020-12-22,243.49
NFLX_HISTORY,,,,,2020-12-18,534.45,2020-12-22,527.33
AAPL_HISTORY,,,,,2020-12-21,128.23,2020-12-22,131.88
AAPL_HISTORY,,,,,2020-12-28,136.69,2020-12-30,133.72
MSFT_HISTORY,,,,,2020-12-28,224.96,2021-01-04,217.69
AAPL_HISTORY,,,,,2020-12-29,134.87,2020-12-31,132.69
V_HISTORY,,,,,2020-12-29,214.37,2021-01-05,214.51
MA_HISTORY,,,,,2020-12-29,346.66,2021-01-05,347.42
COST_HISTORY,,,,,2020-12-29,372.72,2021-01-05,375.74
FIS_HISTORY,,,,,2020-12-30,139.53,2021-01-04,139.91
UNH_HISTORY,,,,,2020-12-30,344.99,2021-01-06,359.27
FIS_HISTORY,,,,,2020-12-31,141.46,2021-01-05,136.68
MSFT_HISTORY,2021-01-06,212.25,2021-01-12,214.93,,,,
